ticker,net_dollar_value,n_purchases,n_sales,n_distinct_insiders
JEF,318717006.32,1,0,1
FBIN,30638622.148500003,7,1,3
FOUR,15943101.7,2,0,1
HLNE,14241108.139999999,10,0,3
RYAN,4568609.120999999,6,0,5
ADC,2907343.4499999997,4,0,4
ACI,2515542.299,4,0,3
FCN,2076583.8,4,0,3
PSN,1972073.3599999999,4,0,2
CXT,1160078.0,2,0,2
VFC,1007762.1200000001,2,0,2
KBR,945165.6,4,0,4
RLI,858955.0,6,0,4
HOG,790676.0892,1,5,3
CELH,716358.0,3,0,3
PNFP,704675.3300000001,1,1,2
ACM,699391.02,3,0,3
MTDR,681443.26,10,0,6
ELAN,533557.3049999999,4,0,4
XRAY,515799.41153,5,0,5
CMC,504499.0,1,0,1
WCC,351254.39999999997,1,0,1
VVV,336837.0,3,1,4
EEFT,255748.6,2,0,1
PLNT,247700.0,1,0,1
DTM,240472.60000000003,3,0,2
SON,234161.8555,1,1,2
FLS,231614.99999999997,2,0,2
AMH,117021.16,9,0,1
CNM,95110.93800000001,1,0,1
FIVE,93309.15000000001,1,0,1
OLED,92840.0,1,0,1
FFIN,57603.0,2,0,2
TTEK,50179.0,1,0,1
RBA,26588.75,1,1,2
ENS,24674.76,1,0,1
KNSL,22527.5,1,1,2
GPK,0.0,1,0,1
DT,-10420.93,0,4,1
IRT,-24800.0,0,3,1
MZTI,-35358.51000000001,1,1,2
DAR,-39342.54999999999,2,1,2
VIAV,-59605.149999999994,0,1,1
OSK,-67599.3,0,1,1
TREX,-70000.0,0,1,1
POR,-79662.70999999999,0,1,1
OC,-84497.0,0,1,1
LPX,-89237.60999999999,0,1,1
COLB,-92810.68,1,2,2
ESAB,-95000.0,0,1,1
EGP,-98668.08,0,1,1
RGLD,-107925.0,0,1,1
CFR,-124119.567,0,1,1
CACI,-132100.32,0,1,1
BIO,-135597.0,0,1,1
SAIA,-136880.84,0,1,1
RRC,-140000.0,0,1,1
TEX,-142945.35,0,3,1
GLPI,-144960.0,0,1,1
DOCS,-147523.61,0,3,1
ITT,-150174.57,0,1,1
SSD,-156496.0,0,1,1
LAD,-157387.19999999998,0,3,3
KRG,-161374.5,0,1,1
AVAV,-162544.0,0,4,2
INGR,-170039.22,0,1,1
NOV,-184300.74000000002,0,1,1
RGEN,-185785.0,0,2,1
AN,-198000.0,0,1,1
AA,-215372.0,0,1,1
SR,-228229.22000000003,2,1,2
ARWR,-228333.59999999998,0,1,1
PEGA,-229616.09,0,5,2
LECO,-232214.45,0,1,1
LIVN,-232578.0,0,2,1
NJR,-233441.745,0,2,2
JLL,-240239.0955,0,2,1
FAF,-243924.35906890003,0,2,1
GGG,-257486.661,0,1,1
ALK,-263256.3,0,1,1
ENSG,-267692.52,0,5,4
GNTX,-272899.4256,0,2,2
FLR,-276200.0,0,1,1
VMI,-294881.83999999997,1,1,2
BKH,-304969.56909999996,0,1,1
BRKR,-317820.0,0,3,1
OGE,-352339.64999999997,0,1,1
VOYA,-359460.0,0,1,1
