ticker,name,gics_sector,cik,cik_padded
AA,Alcoa,Materials,1675149,0001675149
AAL,American Airlines Group,Industrials,6201,0000006201
AAON,AAON,Industrials,824142,0000824142
ACI,Albertsons,Consumer Staples,1646972,0001646972
ACM,AECOM,Industrials,868857,0000868857
ADC,Agree Realty,Real Estate,917251,0000917251
AEIS,Advanced Energy,Information Technology,927003,0000927003
AFG,American Financial Group,Financials,1042046,0001042046
AGCO,AGCO,Industrials,880266,0000880266
AHR,American Healthcare REIT,Real Estate,1632970,0001632970
AIT,Applied Industrial Technologies,Industrials,109563,0000109563
ALGM,Allegro MicroSystems,Information Technology,866291,0000866291
ALK,Alaska Air Group,Industrials,766421,0000766421
ALLY,Ally Financial,Financials,40729,0000040729
ALSN,Allison Transmission,Industrials,1411207,0001411207
ALV,Autoliv,Consumer Discretionary,1034670,0001034670
AM,Antero Midstream,Energy,1623925,0001623925
AMG,Affiliated Managers Group,Financials,1004434,0001004434
AMH,American Homes 4 Rent,Real Estate,1562401,0001562401
AMKR,Amkor Technology,Information Technology,1047127,0001047127
AN,AutoNation,Consumer Discretionary,350698,0000350698
ANF,Abercrombie & Fitch,Consumer Discretionary,1018840,0001018840
APG,APi Group,Industrials,1796209,0001796209
APPF,AppFolio,Information Technology,1433195,0001433195
AR,Antero Resources,Energy,1433270,0001433270
ARMK,Aramark,Consumer Discretionary,1584509,0001584509
ARW,Arrow Electronics,Information Technology,7536,0000007536
ARWR,Arrowhead Pharmaceuticals,Health Care,879407,0000879407
ASB,Associated Bank,Financials,7789,0000007789
ASH,Ashland Global,Materials,1674862,0001674862
ATI,ATI Inc.,Industrials,1018963,0001018963
ATR,AptarGroup,Materials,896622,0000896622
AVAV,AeroVironment,Industrials,1368622,0001368622
AVNT,Avient,Materials,1122976,0001122976
AVT,Avnet,Information Technology,8858,0000008858
AVTR,Avantor,Health Care,1722482,0001722482
AXTA,Axalta,Materials,1616862,0001616862
AYI,Acuity Brands,Industrials,1144215,0001144215
BAH,Booz Allen Hamilton,Industrials,1443646,0001443646
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,701985,0000701985
BC,Brunswick,Consumer Discretionary,14930,0000014930
BCO,Brink's,Industrials,78890,0000078890
BDC,Belden Inc.,Information Technology,913142,0000913142
BHF,Brighthouse Financial,Financials,1685040,0001685040
BILL,Bill Holdings,Information Technology,1786352,0001786352
BIO,Bio-Rad Laboratories,Health Care,12208,0000012208
BJ,BJ's Wholesale Club,Consumer Staples,1531152,0001531152
BKH,Black Hills Corporation,Utilities,1130464,0001130464
BMRN,BioMarin Pharmaceutical,Health Care,1048477,0001048477
BRKR,Bruker,Health Care,1109354,0001109354
BROS,Dutch Bros Inc.,Consumer Discretionary,1866581,0001866581
BRX,Brixmor Property Group,Real Estate,1581068,0001581068
BSY,Bentley Systems,Information Technology,1031308,0001031308
BTSG,BrightSpring Health Services,Health Care,1865782,0001865782
BURL,Burlington Stores,Consumer Discretionary,1579298,0001579298
BWA,BorgWarner,Consumer Discretionary,908255,0000908255
BWXT,BWX Technologies,Industrials,1486957,0001486957
BYD,Boyd Gaming,Consumer Discretionary,906553,0000906553
CACI,CACI International,Industrials,16058,0000016058
CAR,Avis Budget Group,Industrials,723612,0000723612
CART,Maplebear Inc.,Consumer Staples,1579091,0001579091
CAVA,Cava Group,Consumer Discretionary,1639438,0001639438
CBSH,Commerce Bancshares,Financials,22356,0000022356
CBT,Cabot Corp,Materials,16040,0000016040
